Rank,Player,TOP,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP,adj_FG,adj_FT,zFG,zFT,z3P,zPTS,zREB,zAST,zSTL,zBLK,zTOV,zAVG
310,Jonathon Simmons,0,2.3,5.4,0.42,0.4,1.3,1.7,0.75,2.1,1.6,0.6,0.3,1,6.2,0,0.472587646,0.781203168,-0.501366586,-0.061335212,-0.871196876,-1.238790864,-1.414410203,-0.652637518,-1.14064006,-0.746821894,0.794799492,-0.648044413
311,Noah Vonleh,0,1.8,3.6,0.481,0.1,0.8,1.3,0.638,5.2,0.4,0.4,0.4,0.9,4.4,-0.6,0.475680076,0.775925525,0.16431891,-0.568486987,-1.195711472,-1.513868737,-0.254916078,-1.171289851,-1.656407739,-0.557936979,0.903906075,-0.650043651
312,Corey Brewer,0,1.8,4.2,0.422,0.3,0.6,0.8,0.735,2,1.2,0.7,0.2,0.7,4.5,-0.2,0.473176328,0.781291173,-0.374645262,-0.052878513,-0.979368408,-1.498586633,-1.451813239,-0.825521629,-0.88275622,-0.935706809,1.12211924,-0.653239719
313,Beno Udrih,0,2.4,5.1,0.467,0.3,0.8,0.9,0.941,1.5,3.4,0.3,0,0.9,5.8,-0.1,0.474692019,0.784760236,-0.048373062,0.280478962,-0.979368408,-1.29991928,-1.638828421,0.12534098,-1.914291578,-1.313476638,0.903906075,-0.653836819
314,Jeff Withey,0,1.1,2,0.534,0,0.7,0.9,0.75,2.4,0.1,0.3,0.6,0.3,2.9,0.4,0.476226519,0.781913729,0.281947822,0.006945639,-1.303883003,-1.743100298,-1.302201094,-1.300952934,-1.914291578,-0.18016715,1.558545572,-0.655239669
315,Ben McLemore,0,3,6.9,0.43,1.1,1.1,1.5,0.753,2.1,0.8,0.5,0.1,1,8.1,-0.9,0.472511536,0.779978471,-0.517750279,-0.179021688,-0.113996153,-0.948430888,-1.414410203,-0.99840574,-1.398523899,-1.124591724,0.794799492,-0.655592342
316,Luis Scola,0,2,4.2,0.47,0.5,0.7,1,0.676,3.9,1,0.4,0.1,0.9,5.1,0.1,0.474930832,0.779694323,0.00303447,-0.20632674,-0.763025344,-1.406894009,-0.74115555,-0.911963684,-1.656407739,-1.124591724,0.903906075,-0.655936027
317,Brandon Ingram,0,3.5,8.7,0.402,0.7,1.7,2.7,0.621,4,2.1,0.6,0.5,1.5,9.4,-1.1,0.469553363,0.770881066,-1.154535277,-1.053231006,-0.54668228,-0.749763535,-0.703752513,-0.43653238,-1.14064006,-0.369052064,0.249266578,-0.656102504
318,Brandon Knight,0,3.9,9.7,0.398,0.8,2.4,2.9,0.857,2.2,2.4,0.5,0.1,1.6,11,-0.7,0.468971289,0.785581106,-1.279834222,0.35935992,-0.438510748,-0.50524987,-1.377007167,-0.306869297,-1.398523899,-1.124591724,0.140159995,-0.659007446
319,Troy Daniels,0,2.8,7.4,0.374,2.1,0.6,0.8,0.796,1.5,0.7,0.3,0.1,0.7,8.2,-0.3,0.468788973,0.781291173,-1.319080102,-0.052878513,0.967719166,-0.933148784,-1.638828421,-1.041626767,-1.914291578,-1.124591724,1.12211924,-0.659400831
320,Domantas Sabonis,0,2.4,5.9,0.399,0.6,0.5,0.8,0.657,3.6,1,0.5,0.4,1,5.9,-1.2,0.471409574,0.778436539,-0.754961722,-0.327192674,-0.654853812,-1.284637176,-0.853364659,-0.911963684,-1.398523899,-0.557936979,0.794799492,-0.660959457
321,Omri Casspi,0,2.1,4.6,0.47,0.4,0.5,0.8,0.586,3.1,1,0.6,0.1,0.8,5.2,-0.2,0.474144308,0.778436539,-0.166275054,-0.327192674,-0.871196876,-1.391611905,-1.04037984,-0.911963684,-1.14064006,-1.124591724,1.013012657,-0.662315462
322,Ed Davis,0,1.6,3.1,0.528,0,1.1,1.8,0.617,5.3,0.6,0.3,0.5,0.8,4.3,0,0.476015263,0.773484202,0.23647225,-0.803084404,-1.303883003,-1.529150841,-0.217513042,-1.084847795,-1.914291578,-0.369052064,1.013012657,-0.663593091
323,Josh McRoberts,0,2,5.4,0.373,0.6,0.3,0.4,0.667,3.4,2.3,0.5,0.2,1,4.9,0,0.469983306,0.781652599,-1.061984545,-0.018147489,-0.654853812,-1.437458217,-0.928170731,-0.350090324,-1.398523899,-0.935706809,0.794799492,-0.665570704
324,K.J. McDaniels,0,1.6,3.4,0.456,0.4,0.7,0.8,0.842,1.7,0.3,0.4,0.4,0.6,4.2,-0.3,0.474753653,0.784145806,-0.035105664,0.221435647,-0.871196876,-1.544432945,-1.564022348,-1.214510878,-1.656407739,-0.557936979,1.231225823,-0.665661329
325,Cheick Diallo,0,2.1,4.5,0.474,0,0.9,1.2,0.714,4.3,0.2,0.2,0.4,0.4,5.1,-0.2,0.47455916,0.780937907,-0.076972728,-0.086825337,-1.303883003,-1.406894009,-0.591543405,-1.257731906,-2.172175418,-0.557936979,1.449438989,-0.667169311
326,Lavoy Allen,0,1.3,2.8,0.458,0,0.4,0.5,0.697,3.6,0.9,0.3,0.4,0.5,2.9,0.4,0.474619116,0.782281285,-0.064066448,0.042265667,-1.303883003,-1.743100298,-0.853364659,-0.955184712,-1.914291578,-0.557936979,1.340332406,-0.667692178
327,Stanley Johnson,0,1.7,4.7,0.353,0.6,0.5,0.7,0.679,2.5,1.4,0.7,0.3,0.9,4.4,0,0.470236496,0.780665052,-1.007482114,-0.113045196,-0.654853812,-1.513868737,-1.264798058,-0.739079574,-0.88275622,-0.746821894,0.903906075,-0.668755503
328,Leandro Barbosa,0,2.6,5.9,0.439,0.5,0.6,0.7,0.889,1.6,1.2,0.5,0.1,0.7,6.3,-0.5,0.473138298,0.783527857,-0.382831672,0.162054273,-0.763025344,-1.22350876,-1.601425384,-0.825521629,-1.398523899,-1.124591724,1.12211924,-0.670583878
329,Patrick McCaw,0,1.5,3.5,0.433,0.6,0.4,0.5,0.784,1.4,1.1,0.5,0.2,0.5,4,0.1,0.473451928,0.782281285,-0.315318669,0.042265667,-0.654853812,-1.574997153,-1.676231457,-0.868742657,-1.398523899,-0.935706809,1.340332406,-0.671308487
330,Jonas Jerebko,0,1.5,3.4,0.435,0.6,0.3,0.5,0.703,3.5,0.9,0.3,0.2,0.5,3.8,0,0.4738702,0.779401993,-0.225280179,-0.234417984,-0.654853812,-1.605561361,-0.890767695,-0.955184712,-1.914291578,-0.935706809,1.340332406,-0.675081303
331,Mindaugas Kuzminskas,0,2.3,5.4,0.428,0.8,0.8,1,0.809,1.9,1,0.4,0.2,0.8,6.3,-0.2,0.472587646,0.782532751,-0.501366586,0.066430178,-0.438510748,-1.22350876,-1.489216275,-0.911963684,-1.656407739,-0.935706809,1.013012657,-0.675248641
332,Andrew Harrison,0,1.6,5,0.325,0.6,2.1,2.7,0.763,1.9,2.8,0.7,0.3,1.2,5.9,-0.2,0.468136434,0.781712143,-1.459547568,-0.012425603,-0.654853812,-1.284637176,-1.489216275,-0.133985186,-0.88275622,-0.746821894,0.576586326,-0.676406379
333,Kris Humphries,0,1.6,3.8,0.407,0.3,1.1,1.5,0.78,3.7,0.5,0.3,0.4,0.5,4.6,-0.1,0.473081872,0.779978471,-0.394978125,-0.179021688,-0.979368408,-1.483304529,-0.815961622,-1.128068823,-1.914291578,-0.557936979,1.340332406,-0.679177705
334,Randy Foye,0,1.7,4.7,0.363,1,0.8,0.9,0.857,2.2,2,0.5,0.1,1.2,5.2,-0.6,0.470236496,0.784760236,-1.007482114,0.280478962,-0.222167685,-1.391611905,-1.377007167,-0.479753407,-1.398523899,-1.124591724,0.576586326,-0.682674735
335,Mirza Teletovic,0,2.2,6,0.373,1.5,0.5,0.6,0.778,2.3,0.7,0.2,0.2,0.5,6.4,-0.8,0.469275228,0.78290636,-1.21440748,0.102331928,0.318689975,-1.208226656,-1.33960413,-1.041626767,-2.172175418,-0.935706809,1.340332406,-0.683376995
336,Jaylen Brown,0,2.5,5.4,0.454,0.6,1.1,1.6,0.685,2.8,0.8,0.4,0.2,0.9,6.6,-0.7,0.474323873,0.777801632,-0.12762128,-0.388203723,-0.654853812,-1.177662448,-1.152588949,-0.99840574,-1.656407739,-0.935706809,0.903906075,-0.687504936
337,D.J. Augustin,0,2.5,6.6,0.377,1.2,1.7,2.1,0.814,1.5,2.7,0.4,0,1.2,7.9,-0.9,0.469433613,0.783612111,-1.180312937,0.170150573,-0.005824621,-0.978995096,-1.638828421,-0.177206214,-1.656407739,-1.313476638,0.576586326,-0.689368307
338,Paul Zipser,0,2,5,0.398,0.8,0.7,0.9,0.775,2.8,0.8,0.3,0.4,0.9,5.5,-0.4,0.471620988,0.781913729,-0.709452284,0.006945639,-0.438510748,-1.345765593,-1.152588949,-0.99840574,-1.914291578,-0.557936979,0.903906075,-0.689566684
339,Joffrey Lauvergne,0,2.1,4.8,0.44,0.5,0.7,1,0.63,3.6,1,0.4,0.1,0.8,5.4,-0.3,0.473316775,0.779694323,-0.344412123,-0.20632674,-0.763025344,-1.361047697,-0.853364659,-0.911963684,-1.656407739,-1.124591724,1.013012657,-0.689791895
340,Kevin Seraphin,0,2.2,4,0.551,0,0.3,0.4,0.636,2.9,0.5,0.1,0.4,0.6,4.7,-0.2,0.477523153,0.781652599,0.56106502,-0.018147489,-1.303883003,-1.468022425,-1.115185913,-1.128068823,-2.430059258,-0.557936979,1.231225823,-0.692112561
341,Thon Maker,0,1.5,3.2,0.459,0.5,0.6,0.9,0.653,2,0.4,0.2,0.5,0.3,4,0.1,0.474708966,0.779067221,-0.044725085,-0.266587684,-0.763025344,-1.574997153,-1.451813239,-1.171289851,-2.172175418,-0.369052064,1.558545572,-0.695013363
342,Denzel Valentine,0,1.8,5.1,0.354,1.3,0.2,0.3,0.778,2.6,1.1,0.5,0.1,0.9,5.1,-0.2,0.469469738,0.781020272,-1.172536685,-0.078910555,0.102346911,-1.406894009,-1.227395021,-0.868742657,-1.398523899,-1.124591724,0.903906075,-0.696815729
343,Timothe Luwawu-Cabarrot,0,2.1,5.2,0.402,0.7,1.5,1.8,0.854,2.2,1.1,0.5,0.1,1.1,6.4,-0.6,0.471670346,0.784585824,-0.698827314,0.263718914,-0.54668228,-1.208226656,-1.377007167,-0.868742657,-1.398523899,-1.124591724,0.685692909,-0.697021097
344,DeAndre Liggins,0,0.9,2.3,0.387,0.3,0.4,0.6,0.625,1.7,0.9,0.8,0.2,0.7,2.5,0,0.473167719,0.780035336,-0.376498412,-0.173557358,-0.979368408,-1.804228714,-1.564022348,-0.955184712,-0.624872381,-0.935706809,1.12211924,-0.699035545
345,Jarrod Uthoff,0,1.8,4.2,0.421,0.3,0.6,0.8,0.714,2.4,1,0.2,0.4,0.3,4.4,0,0.473176328,0.781291173,-0.374645262,-0.052878513,-0.979368408,-1.513868737,-1.302201094,-0.911963684,-2.172175418,-0.557936979,1.558545572,-0.700721392
346,Wesley Johnson,0,1.1,2.9,0.365,0.4,0.2,0.3,0.647,2.7,0.3,0.4,0.4,0.3,2.7,0,0.472423208,0.781020272,-0.536763966,-0.078910555,-0.871196876,-1.773664506,-1.189991985,-1.214510878,-1.656407739,-0.557936979,1.558545572,-0.702315323
347,Richard Jefferson,0,1.9,4.3,0.446,0.8,1,1.4,0.741,2.6,1,0.3,0.1,0.7,5.7,-0.2,0.47363808,0.779360967,-0.275247148,-0.238360368,-0.438510748,-1.315201384,-1.227395021,-0.911963684,-1.914291578,-1.124591724,1.12211924,-0.702604713
348,Chasson Randle,0,1.5,3.8,0.408,0.6,1.6,1.7,0.953,1.2,1.3,0.3,0.1,0.7,5.3,0,0.47220153,0.789552558,-0.584482966,0.740994066,-0.654853812,-1.376329801,-1.751037529,-0.782300601,-1.914291578,-1.124591724,1.12211924,-0.702752745
349,C.J. Watson,0,1.5,4,0.387,0.5,0.9,1.1,0.864,1.4,1.8,0.7,0,0.8,4.5,-0.4,0.471371595,0.783148269,-0.763137364,0.125577988,-0.763025344,-1.498586633,-1.676231457,-0.566195463,-0.88275622,-1.313476638,1.013012657,-0.702757608
350,Isaiah Canaan,0,1.6,4.4,0.364,0.6,0.8,0.8,0.909,1.3,0.9,0.6,0,0.5,4.6,-0.2,0.47059616,0.787000439,-0.930059627,0.495749807,-0.654853812,-1.483304529,-1.713634493,-0.955184712,-1.14064006,-1.313476638,1.340332406,-0.706119073
351,Lance Stephenson,0,3,6.7,0.45,0.3,0.4,0.7,0.615,2.9,3.3,0.3,0.2,1.4,6.8,-0.3,0.473322768,0.777802246,-0.343122073,-0.388144664,-0.979368408,-1.14709824,-1.115185913,0.082119953,-1.914291578,-0.935706809,0.358373161,-0.709158286
352,Chris Andersen,0,0.8,1.8,0.409,0,0.8,1.2,0.714,2.6,0.4,0.4,0.6,0.4,2.3,0,0.474391673,0.778115502,-0.113026483,-0.358042594,-1.303883003,-1.834792922,-1.227395021,-1.171289851,-1.656407739,-0.18016715,1.449438989,-0.710618419
353,Anthony Morrow,0,2,5.1,0.389,0.8,0.7,0.8,0.919,0.6,0.5,0.5,0,0.1,5.5,-0.4,0.471210498,0.784145806,-0.797815477,0.221435647,-0.438510748,-1.345765593,-1.975455747,-1.128068823,-1.398523899,-1.313476638,1.776758737,-0.711046949
354,Reggie Williams,0,1.3,3.8,0.348,0.8,1,1.2,0.857,1,0.7,0.5,0,0,4.5,0,0.470440848,0.783760313,-0.963492647,0.184391919,-0.438510748,-1.498586633,-1.825843602,-1.041626767,-1.398523899,-1.313476638,1.88586532,-0.712200411
355,Trey Lyles,0,2.2,6.2,0.362,0.9,0.8,1.1,0.722,3.3,1,0.4,0.3,0.9,6.2,-0.3,0.468466079,0.780317875,-1.388587231,-0.146406921,-0.330339217,-1.238790864,-0.965573767,-0.911963684,-1.656407739,-0.746821894,0.903906075,-0.720109471
356,Chandler Parsons,0,2.2,6.5,0.338,0.7,1,1.3,0.814,2.5,1.6,0.6,0.1,0.7,6.2,-0.3,0.467257574,0.781554449,-1.648733527,-0.027579134,-0.54668228,-1.238790864,-1.264798058,-0.652637518,-1.14064006,-1.124591724,1.12211924,-0.724703769
357,Axel Toupane,0,1.3,2.3,0.556,0.3,0,0,0,0.3,0,0.3,0.3,0,2.8,0,0.476736206,0.782022472,0.391664635,0.017395226,-0.979368408,-1.758382402,-2.087664856,-1.344173961,-1.914291578,-0.746821894,1.88586532,-0.726197546
358,Anthony Brown,0,1.6,4.5,0.36,0.6,0,0,0,3,0.7,0.5,0.1,0.5,3.9,-0.1,0.470184412,0.782022472,-1.01869368,0.017395226,-0.654853812,-1.590279257,-1.077782876,-1.041626767,-1.398523899,-1.124591724,1.340332406,-0.727624932
359,Cole Aldrich,0,0.7,1.4,0.523,0,0.2,0.4,0.682,2.5,0.4,0.4,0.4,0.3,1.7,0.4,0.475198893,0.778764993,0.060738081,-0.295630094,-1.303883003,-1.926485546,-1.264798058,-1.171289851,-1.656407739,-0.557936979,1.558545572,-0.728571957
360,Jarell Martin,0,1.4,3.6,0.384,0.2,1,1.2,0.8,3.9,0.2,0.4,0.2,0.7,3.9,-0.6,0.4721525,0.783760313,-0.595037438,0.184391919,-1.08753994,-1.590279257,-0.74115555,-1.257731906,-1.656407739,-0.935706809,1.12211924,-0.728594164
361,Ron Baker,0,1.6,4.2,0.378,0.4,0.5,0.8,0.651,1.9,2.1,0.7,0.2,1.1,4.1,-0.5,0.471421823,0.778436539,-0.752324995,-0.327192674,-0.871196876,-1.559715049,-1.489216275,-0.43653238,-0.88275622,-0.935706809,0.685692909,-0.729883152
362,Kevon Looney,0,1.1,2,0.523,0,0.4,0.6,0.618,2.3,0.5,0.3,0.3,0.3,2.5,0.3,0.476226519,0.780035336,0.281947822,-0.173557358,-1.303883003,-1.804228714,-1.33960413,-1.128068823,-1.914291578,-0.746821894,1.558545572,-0.72999579
363,Dante Exum,0,2.3,5.5,0.427,0.7,0.9,1.1,0.795,2,1.7,0.3,0.2,1.2,6.2,-0.1,0.472177742,0.783148269,-0.589603693,0.125577988,-0.54668228,-1.238790864,-1.451813239,-0.60941649,-1.914291578,-0.935706809,0.576586326,-0.731571182
364,Adreian Payne,0,1.3,3,0.426,0.2,0.8,1.1,0.737,1.8,0.4,0.4,0.4,0.4,3.5,0,0.473777535,0.780317875,-0.245227557,-0.146406921,-1.08753994,-1.651407673,-1.526619312,-1.171289851,-1.656407739,-0.557936979,1.449438989,-0.732599665
365,Maurice Ndour,0,1.2,2.7,0.453,0,0.6,0.8,0.731,2,0.3,0.5,0.3,0.4,3.1,-0.1,0.474152079,0.781291173,-0.164602233,-0.052878513,-1.303883003,-1.712536089,-1.451813239,-1.214510878,-1.398523899,-0.746821894,1.449438989,-0.732903418
366,Briante Weber,0,1.3,3,0.417,0.1,0.6,0.8,0.688,1.3,1.1,0.6,0.1,0.4,3.1,-0.1,0.473777535,0.781291173,-0.245227557,-0.052878513,-1.195711472,-1.712536089,-1.713634493,-0.868742657,-1.14064006,-1.124591724,1.449438989,-0.733835953
367,Okaro White,0,0.9,2.5,0.379,0.3,0.6,0.6,0.909,2.3,0.6,0.3,0.3,0.5,2.8,0,0.472324976,0.785777385,-0.557909709,0.378221214,-0.979368408,-1.758382402,-1.33960413,-1.084847795,-1.914291578,-0.746821894,1.340332406,-0.740296922
368,Thomas Robinson,0,2.2,4.1,0.536,0,0.6,1.4,0.47,4.6,0.6,0.5,0.2,1,5,0,0.477103877,0.768134715,0.470810436,-1.317139889,-1.303883003,-1.422176113,-0.479334296,-1.084847795,-1.398523899,-0.935706809,0.794799492,-0.741777986
369,Shabazz Napier,0,1.4,3.5,0.399,0.6,0.7,0.9,0.776,1.2,1.3,0.6,0,0.8,4.1,0,0.472569256,0.781913729,-0.505325322,0.006945639,-0.654853812,-1.559715049,-1.751037529,-0.782300601,-1.14064006,-1.313476638,1.013012657,-0.743043413
370,Aaron Brooks,0,1.9,4.6,0.403,0.7,0.5,0.6,0.8,1.1,1.9,0.4,0.1,1,5,-0.6,0.472395938,0.78290636,-0.54263414,0.102331928,-0.54668228,-1.422176113,-1.788440566,-0.522974435,-1.656407739,-1.124591724,0.794799492,-0.745197286
371,Alec Burks,0,2.4,5.9,0.399,0.6,1.4,1.9,0.769,2.9,0.7,0.4,0.1,0.8,6.7,-0.4,0.471409574,0.779646583,-0.754961722,-0.210914306,-0.654853812,-1.162380344,-1.115185913,-1.041626767,-1.656407739,-1.124591724,1.013012657,-0.745323297
372,Ramon Sessions,0,2,5.3,0.38,0.4,1.8,2.4,0.771,1.5,2.6,0.5,0.1,0.9,6.2,-0.5,0.470391659,0.779924402,-0.974081208,-0.184217507,-0.871196876,-1.238790864,-1.638828421,-0.220427241,-1.398523899,-1.124591724,0.903906075,-0.749639074
373,Jakob Poeltl,0,1.2,2.1,0.583,0,0.6,1.1,0.544,3.1,0.2,0.3,0.4,0.5,3.1,0.2,0.476694624,0.774657087,0.38271347,-0.690376738,-1.303883003,-1.712536089,-1.04037984,-1.257731906,-1.914291578,-0.557936979,1.340332406,-0.750454473
374,Raul Neto,0,1,2.3,0.451,0.3,0.2,0.2,0.889,0.8,0.9,0.5,0.1,0.4,2.5,0.1,0.474059841,0.783288651,-0.184457651,0.139067856,-0.979368408,-1.804228714,-1.900649675,-0.955184712,-1.398523899,-1.124591724,1.449438989,-0.750944215
375,Tyler Ennis,0,1.7,3.9,0.433,0.5,0.4,0.5,0.84,0.8,1.6,0.5,0,0.8,4.3,-0.4,0.473545332,0.782281285,-0.295212417,0.042265667,-0.763025344,-1.529150841,-1.900649675,-0.652637518,-1.398523899,-1.313476638,1.013012657,-0.755266445
376,Derrick Williams,0,2.2,4.9,0.443,0.6,1.2,1.8,0.652,2.6,0.6,0.3,0.1,0.6,6.1,-0.4,0.473775989,0.776259607,-0.245560358,-0.536383575,-0.654853812,-1.254072968,-1.227395021,-1.084847795,-1.914291578,-1.124591724,1.231225823,-0.756752334
377,Omer Asik,0,1,2.1,0.477,0,0.7,1.3,0.59,5.3,0.5,0.2,0.3,0.5,2.7,-0.1,0.474907191,0.773111063,-0.002054573,-0.838940913,-1.303883003,-1.773664506,-0.217513042,-1.128068823,-2.172175418,-0.746821894,1.340332406,-0.760309974
378,James Michael McAdoo,0,1.2,2.3,0.53,0,0.4,0.8,0.5,1.8,0.3,0.3,0.6,0.4,2.8,0.2,0.475844085,0.775581906,0.199623873,-0.601506834,-1.303883003,-1.758382402,-1.526619312,-1.214510878,-1.914291578,-0.18016715,1.449438989,-0.761144255
379,Anthony Bennett,0,1.7,4,0.413,0.6,1.1,1.6,0.722,3.4,0.5,0.2,0.1,0.5,5,-0.1,0.473129183,0.777801632,-0.384793826,-0.388203723,-0.654853812,-1.422176113,-0.928170731,-1.128068823,-2.172175418,-1.124591724,1.340332406,-0.762522418
380,Quinn Cook,0,2.4,4.7,0.5,0.8,0.1,0.4,0.4,0.5,1.9,0.3,0,0.9,5.6,-0.2,0.476350443,0.775877388,0.308624166,-0.573112698,-0.438510748,-1.330483488,-2.012858783,-0.522974435,-1.914291578,-1.313476638,0.903906075,-0.765908681
381,Rashad Vaughn,0,1.4,3.8,0.365,0.6,0,0.1,0.4,1.2,0.6,0.5,0.2,0.3,3.5,-0.3,0.471321189,0.779744566,-0.773987807,-0.201498643,-0.654853812,-1.651407673,-1.751037529,-1.084847795,-1.398523899,-0.935706809,1.558545572,-0.765924266
382,Gerald Green,0,2,4.9,0.409,0.8,0.7,0.9,0.805,1.8,0.7,0.2,0.1,0.5,5.6,-0.4,0.472032193,0.781913729,-0.620935004,0.006945639,-0.438510748,-1.330483488,-1.526619312,-1.041626767,-2.172175418,-1.124591724,1.340332406,-0.767518269
383,Mario Hezonja,0,1.8,5.1,0.355,0.7,0.6,0.8,0.8,2.2,1,0.5,0.2,0.9,4.9,-0.9,0.469469738,0.781291173,-1.172536685,-0.052878513,-0.54668228,-1.437458217,-1.377007167,-0.911963684,-1.398523899,-0.935706809,0.903906075,-0.769872353
384,Ronnie Price,0,0.3,1.7,0.167,0.2,0.2,0.3,0.75,0.8,1.3,0.8,0.1,0.2,1,0,0.470332551,0.781020272,-0.986804854,-0.078910555,-1.08753994,-2.033460274,-1.900649675,-0.782300601,-0.624872381,-1.124591724,1.667652154,-0.772386428
385,Tomas Satoransky,0,1.1,2.6,0.415,0.2,0.4,0.6,0.697,1.5,1.6,0.5,0.1,0.7,2.7,-0.2,0.473684211,0.780035336,-0.265316919,-0.173557358,-1.08753994,-1.773664506,-1.638828421,-0.652637518,-1.398523899,-1.124591724,1.12211924,-0.776949005
386,Pat Connaughton,0,0.9,1.8,0.514,0.4,0.2,0.2,0.778,1.3,0.7,0.2,0.1,0.4,2.5,0,0.475287792,0.783288651,0.079874736,0.139067856,-0.871196876,-1.804228714,-1.713634493,-1.041626767,-2.172175418,-1.124591724,1.449438989,-0.784341379
387,Jarnell Stokes,0,0.5,0.5,1,0,0.5,1,0.5,1,1,0.5,0,0,1.5,0,0.477263217,0.774017467,0.505110391,-0.751840577,-1.303883003,-1.957049754,-1.825843602,-0.911963684,-1.398523899,-1.313476638,1.88586532,-0.785733939
388,Miles Plumlee,0,1,2,0.478,0,0.6,0.9,0.641,2.1,0.5,0.4,0.3,0.7,2.5,-0.2,0.475332003,0.779067221,0.089391709,-0.266587684,-1.303883003,-1.804228714,-1.414410203,-1.128068823,-1.656407739,-0.746821894,1.12211924,-0.789877457
389,Boris Diaw,0,2,4.5,0.446,0.3,0.4,0.5,0.743,2.2,2.3,0.2,0.1,1.2,4.6,-0.3,0.473684211,0.782281285,-0.265316919,0.042265667,-0.979368408,-1.483304529,-1.377007167,-0.350090324,-2.172175418,-1.124591724,0.576586326,-0.792555833
390,Jose Calderon,0,1.3,3.3,0.41,0.5,0.3,0.3,0.917,1.8,2.1,0.3,0,1,3.4,-0.4,0.472520745,0.78391624,-0.515767804,0.199375631,-0.763025344,-1.666689777,-1.526619312,-0.43653238,-1.914291578,-1.313476638,0.794799492,-0.793580857
391,Brice Johnson,0,0.7,2.3,0.286,0,0,0,0,1,0.3,0.7,0.3,0.3,1.3,0,0.471383475,0.782022472,-0.760579936,0.017395226,-1.303883003,-1.987613962,-1.825843602,-1.214510878,-0.88275622,-0.746821894,1.558545572,-0.794007633
392,Trey Burke,0,2,4.5,0.455,0.5,0.4,0.5,0.759,0.8,1.8,0.2,0.1,0.8,5,-0.7,0.473684211,0.782281285,-0.265316919,0.042265667,-0.763025344,-1.422176113,-1.900649675,-0.566195463,-2.172175418,-1.124591724,1.013012657,-0.795428037
393,Gary Payton,0,1.3,3.7,0.364,0.2,0.5,0.8,0.6,2,2.2,0.5,0.7,1.7,3.3,-0.1,0.470855361,0.778436539,-0.874263277,-0.327192674,-1.08753994,-1.681971881,-1.451813239,-0.393311352,-1.398523899,0.008717765,0.031053412,-0.797205009
394,Nicolas Brussino,0,1,2.6,0.369,0.5,0.3,0.4,0.773,1.8,0.9,0.3,0.1,0.5,2.8,0.1,0.47279447,0.781652599,-0.456845081,-0.018147489,-0.763025344,-1.758382402,-1.526619312,-0.955184712,-1.914291578,-1.124591724,1.340332406,-0.797417248
395,Sheldon Mac,0,1,2.5,0.4,0.2,0.8,0.9,0.852,1.1,0.5,0.3,0.1,0.2,3,-0.1,0.473215509,0.784760236,-0.366210984,0.280478962,-1.08753994,-1.727818193,-1.788440566,-1.128068823,-1.914291578,-1.124591724,1.667652154,-0.798758966
396,Christian Wood,0,0.9,1.8,0.522,0,0.8,1.2,0.733,2.2,0.2,0.2,0.5,0.5,2.7,0,0.475287792,0.778115502,0.079874736,-0.358042594,-1.303883003,-1.773664506,-1.377007167,-1.257731906,-2.172175418,-0.369052064,1.340332406,-0.799038835
397,Cameron Payne,0,2.1,6.2,0.332,0.9,0.2,0.3,0.625,1.5,1.8,0.5,0.1,0.9,5.2,-0.6,0.467603953,0.781020272,-1.574171022,-0.078910555,-0.330339217,-1.391611905,-1.638828421,-0.566195463,-1.398523899,-1.124591724,0.903906075,-0.799918459
398,James Jones,0,0.9,1.9,0.478,0.6,0.3,0.4,0.65,0.8,0.3,0.1,0.2,0.2,2.8,0,0.474862259,0.781652599,-0.011726773,-0.018147489,-0.654853812,-1.758382402,-1.900649675,-1.214510878,-2.430059258,-0.935706809,1.667652154,-0.806264993
399,Johnny O'Bryant,0,1.4,2.7,0.5,0.3,0.5,0.5,0.833,1.7,0.5,0,0.1,0.5,3.5,0,0.475929978,0.785160576,0.218113574,0.318949318,-0.979368408,-1.651407673,-1.564022348,-1.128068823,-2.687943097,-1.124591724,1.340332406,-0.806445197
400,Malcolm Delaney,0,2,5.3,0.374,0.4,1,1.3,0.806,1.7,2.6,0.5,0,1.3,5.4,-1.2,0.470391659,0.781554449,-0.974081208,-0.027579134,-0.871196876,-1.361047697,-1.564022348,-0.220427241,-1.398523899,-1.313476638,0.467479743,-0.806986144
401,Donatas Motiejunas,0,1.7,4.1,0.413,0.3,0.7,1.4,0.51,3,0.9,0.5,0.3,0.9,4.4,-0.1,0.472713765,0.770941278,-0.474217925,-1.047445009,-0.979368408,-1.513868737,-1.077782876,-0.955184712,-1.398523899,-0.746821894,0.903906075,-0.809923043
402,Paul Pierce,0,1.1,2.8,0.4,0.6,0.4,0.5,0.769,1.9,0.4,0.2,0.2,0.6,3.2,-0.2,0.472842796,0.782281285,-0.446442342,0.042265667,-0.654853812,-1.697253985,-1.489216275,-1.171289851,-2.172175418,-0.935706809,1.231225823,-0.810383
403,Dragan Bender,0,1.3,3.7,0.354,0.7,0.1,0.3,0.364,2.4,0.5,0.2,0.5,0.7,3.4,-0.3,0.470855361,0.778124304,-0.874263277,-0.35719674,-0.54668228,-1.666689777,-1.302201094,-1.128068823,-2.172175418,-0.369052064,1.12211924,-0.810467804
