Player,Rookie,Pos,G,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP
Bismack Biyombo,0,C,81,2.2,4.2,0.528,0,1.5,2.9,0.534,7,0.9,0.3,1.1,1.2,6,-0.1
Nemanja Bjelica,0,PF,65,2.3,5.5,0.424,0.9,0.7,0.9,0.738,3.8,1.2,0.6,0.3,0.9,6.2,0.3
Tarik Black,0,C,67,2.2,4.4,0.51,0,1.2,1.6,0.752,5.1,0.6,0.4,0.7,0.9,5.7,0.1
Bojan Bogdanovic,0,SF,81,4.6,10.4,0.445,1.8,2.7,3,0.893,3.4,1.4,0.4,0.1,1.6,13.7,-0.5
Andrew Bogut,0,C,27,1.4,3,0.469,0,0.1,0.4,0.273,8.1,1.8,0.5,0.9,1.6,2.9,0.3
Devin Booker,0,SG,78,7.8,18.3,0.423,1.9,4.7,5.7,0.832,3.2,3.4,0.9,0.3,3.1,22.1,-0.2
Avery Bradley,0,SG,55,6.5,14.1,0.463,2,1.2,1.7,0.731,6.1,2.2,1.2,0.2,1.6,16.3,0.7
Corey Brewer,0,SF,82,1.8,4.2,0.422,0.3,0.6,0.8,0.735,2,1.2,0.7,0.2,0.7,4.5,-0.2
Aaron Brooks,0,PG,65,1.9,4.6,0.403,0.7,0.5,0.6,0.8,1.1,1.9,0.4,0.1,1,5,-0.6
Anthony Brown,0,SF,11,1.6,4.5,0.36,0.6,0,0,0,3,0.7,0.5,0.1,0.5,3.9,-0.1
Bobby Brown,0,PG,25,0.9,2.4,0.383,0.6,0.1,0.1,1,0.2,0.6,0,0,0.2,2.5,-0.2
Reggie Bullock,0,SF,31,1.7,4.1,0.422,0.9,0.2,0.2,0.714,2.1,0.9,0.6,0.1,0.3,4.5,0.2
Trey Burke,0,PG,57,2,4.5,0.455,0.5,0.4,0.5,0.759,0.8,1.8,0.2,0.1,0.8,5,-0.7
Alec Burks,0,SG,42,2.4,5.9,0.399,0.6,1.4,1.9,0.769,2.9,0.7,0.4,0.1,0.8,6.7,-0.4
Bruno Caboclo,0,SF,9,0.7,1.8,0.375,0.2,0,0,0,1.1,0.4,0.2,0.1,0.2,1.6,0
Jose Calderon,0,PG,41,1.3,3.3,0.41,0.5,0.3,0.3,0.917,1.8,2.1,0.3,0,1,3.4,-0.4
Isaiah Canaan,0,SG,39,1.6,4.4,0.364,0.6,0.8,0.8,0.909,1.3,0.9,0.6,0,0.5,4.6,-0.2
Michael Carter-Williams,0,PG,45,2.5,6.8,0.366,0.3,1.3,1.7,0.753,3.4,2.5,0.8,0.5,1.5,6.6,-0.1
Omri Casspi,0,PF,36,2.1,4.6,0.47,0.4,0.5,0.8,0.586,3.1,1,0.6,0.1,0.8,5.2,-0.2
Willie Cauley-Stein,0,C,75,3.4,6.4,0.53,0,1.3,2,0.669,4.5,1.1,0.7,0.6,0.9,8.1,0.3
Tyson Chandler,0,C,47,3.3,4.9,0.671,0,1.9,2.6,0.734,11.5,0.6,0.7,0.5,1.4,8.4,0.5
Wilson Chandler,0,SF,71,6.1,13.2,0.461,1.5,2,2.7,0.727,6.5,2,0.7,0.4,1.6,15.7,0.6
Rakeem Christmas,0,PF,29,0.7,1.5,0.442,0,0.7,1,0.724,1.9,0.1,0.1,0.2,0.3,2,-0.1
Ian Clark,0,SG,77,2.7,5.6,0.487,0.8,0.6,0.8,0.759,1.6,1.2,0.5,0.1,0.7,6.8,0
Jordan Clarkson,0,SG,82,5.8,13.1,0.445,1.4,1.6,2,0.798,3,2.6,1.1,0.1,2,14.7,-0.4
Norris Cole,0,PG,13,1.2,4,0.308,0.2,0.6,0.8,0.8,0.8,1.1,0.6,0,0.5,3.3,-0.2
Darren Collison,0,PG,68,5,10.5,0.476,1.1,2.2,2.5,0.86,2.2,4.6,1,0.1,1.7,13.2,0.3
Nick Collison,0,PF,20,0.7,1.2,0.609,0,0.3,0.4,0.625,1.6,0.6,0.1,0.1,0.2,1.7,0
Pat Connaughton,0,SG,39,0.9,1.8,0.514,0.4,0.2,0.2,0.778,1.3,0.7,0.2,0.1,0.4,2.5,0
Allen Crabbe,0,SG,79,3.8,8.2,0.468,1.7,1.3,1.6,0.847,2.9,1.2,0.7,0.3,0.8,10.7,0.6
Jamal Crawford,0,SG,82,4.4,10.6,0.413,1.4,2.1,2.5,0.857,1.6,2.6,0.7,0.2,1.6,12.3,-0.6
Jordan Crawford,0,SG,19,5.5,11.5,0.482,1.9,1.1,1.4,0.769,1.8,3,0.6,0.1,1.3,14.1,0.2
Dante Cunningham,0,PF,66,2.6,5.4,0.485,1.1,0.2,0.4,0.593,4.2,0.6,0.6,0.4,0.4,6.6,0.6
Troy Daniels,0,SG,67,2.8,7.4,0.374,2.1,0.6,0.8,0.796,1.5,0.7,0.3,0.1,0.7,8.2,-0.3
Ed Davis,0,PF,46,1.6,3.1,0.528,0,1.1,1.8,0.617,5.3,0.6,0.3,0.5,0.8,4.3,0
Sam Dekker,0,PF,77,2.6,5.6,0.473,0.8,0.5,0.9,0.559,3.7,1,0.5,0.3,0.5,6.5,0.3
Matthew Dellavedova,0,PG,76,2.7,7,0.39,1,1.1,1.3,0.854,1.9,4.7,0.7,0,1.8,7.6,-1.4
Luol Deng,0,SF,56,2.9,7.6,0.387,0.9,0.8,1.1,0.73,5.3,1.3,0.9,0.4,0.8,7.6,-0.2
Boris Diaw,0,PF,73,2,4.5,0.446,0.3,0.4,0.5,0.743,2.2,2.3,0.2,0.1,1.2,4.6,-0.3
Spencer Dinwiddie,0,PG,59,2.3,5.1,0.444,0.6,2.1,2.7,0.792,2.8,3.1,0.7,0.4,1.1,7.3,0.4
Toney Douglas,0,PG,24,1.8,4.9,0.368,0.3,1,1.2,0.828,2.5,2.3,0.8,0.2,0.9,4.9,0.1
Jared Dudley,0,PF,64,2.5,5.4,0.454,1.2,0.7,1,0.662,3.5,1.9,0.7,0.3,1.1,6.8,0.6
Mike Dunleavy,0,SF,53,1.8,4.2,0.423,1,0.7,0.8,0.8,2.2,0.9,0.3,0.1,0.5,5.2,0
Jarell Eddie,0,SF,5,1.2,3.8,0.316,0.8,1.6,1.8,0.889,1.4,0,0.2,0,0.2,4.8,-0.1
Wayne Ellington,0,SG,62,3.7,9,0.416,2.4,0.6,0.7,0.86,2.1,1.1,0.6,0.1,0.5,10.5,0.7
Monta Ellis,0,SG,74,3.3,7.5,0.443,0.6,1.3,1.7,0.727,2.8,3.2,1.1,0.4,1.8,8.5,-0.2
James Ennis,0,SF,64,2.3,5,0.455,0.8,1.3,1.7,0.782,4,1,0.7,0.3,0.9,6.7,0.8
Tyler Ennis,0,PG,53,1.7,3.9,0.433,0.5,0.4,0.5,0.84,0.8,1.6,0.5,0,0.8,4.3,-0.4
Tyreke Evans,0,SF,40,3.8,9.3,0.405,1.1,1.7,2.3,0.75,3.4,3.1,0.9,0.2,1.5,10.3,0.2
Dante Exum,0,PG,66,2.3,5.5,0.427,0.7,0.9,1.1,0.795,2,1.7,0.3,0.2,1.2,6.2,-0.1
Jordan Farmar,0,PG,2,2,6,0.333,2,0,0,0,1.5,4.5,1,0,1.5,6,0
Derrick Favors,0,PF,50,4.1,8.3,0.487,0.1,1.3,2.2,0.615,6.1,1.1,0.9,0.8,1.2,9.5,0.6
Cristiano Felicio,0,C,66,1.9,3.3,0.579,0,0.9,1.4,0.645,4.7,0.6,0.4,0.3,0.5,4.8,0.5
Raymond Felton,0,PG,80,2.8,6.4,0.43,0.6,0.6,0.8,0.781,2.7,2.4,0.8,0.3,1,6.7,0.4
Evan Fournier,0,SG,68,6,13.7,0.439,1.9,3.3,4.1,0.805,3.1,3,1,0.1,2.1,17.2,0.4
Randy Foye,0,SG,69,1.7,4.7,0.363,1,0.8,0.9,0.857,2.2,2,0.5,0.1,1.2,5.2,-0.6
Tim Frazier,0,PG,65,2.5,6.2,0.403,0.6,1.5,2,0.76,2.7,5.2,0.9,0.1,1.6,7.1,-0.1
Channing Frye,0,C,74,3.2,7,0.458,1.9,0.9,1,0.851,3.9,0.6,0.4,0.5,0.7,9.1,0.5
Langston Galloway,0,PG,74,2.8,7.4,0.38,1.6,0.7,0.9,0.797,2.1,1.3,0.6,0.1,0.6,7.9,-0.2
Rudy Gay,0,SF,30,6.7,14.7,0.455,1.4,3.9,4.6,0.855,6.3,2.8,1.5,0.9,2.5,18.7,0.7
Alonzo Gee,0,SF,13,0.2,1.1,0.214,0,0.4,0.7,0.556,1.2,0.5,0.4,0.1,0.3,0.8,-0.1
Taj Gibson,0,PF,78,4.7,9.1,0.515,0,1.4,2,0.715,6.2,0.9,0.5,0.8,1.3,10.8,-0.1
Archie Goodwin,0,SG,15,2.4,4.4,0.545,0.3,2.2,2.8,0.786,1.9,1.6,0.3,0.3,0.9,7.3,0
Aaron Gordon,0,SF,80,4.9,10.8,0.454,1,2,2.7,0.719,5.1,1.9,0.8,0.5,1.1,12.7,0.8
Eric Gordon,0,SG,75,5.5,13.5,0.406,3.3,2,2.3,0.84,2.7,2.5,0.6,0.5,1.6,16.2,0.4
Jerami Grant,0,PF,80,1.9,4.1,0.463,0.5,1.1,1.8,0.612,2.6,0.6,0.4,1,0.6,5.5,0
Jerian Grant,0,PG,63,2,4.8,0.425,0.8,1,1.2,0.89,1.8,1.9,0.7,0.1,0.7,5.9,0.4
Gerald Green,0,SF,47,2,4.9,0.409,0.8,0.7,0.9,0.805,1.8,0.7,0.2,0.1,0.5,5.6,-0.4
Jeff Green,0,PF,69,3.2,8.1,0.394,0.8,2.1,2.4,0.863,3.1,1.2,0.5,0.2,1.1,9.2,-1
Justin Hamilton,0,C,64,2.7,5.9,0.459,0.9,0.6,0.8,0.75,4.1,0.9,0.5,0.7,0.7,6.9,0.4
Justin Harper,0,PF,3,1.7,4,0.417,0.7,0,0,0,1.7,0.7,0,0,1.3,4,-0.1
Montrezl Harrell,0,C,58,3.9,5.9,0.652,0,1.3,2.1,0.628,3.8,1.1,0.3,0.7,0.8,9.1,0.8
Devin Harris,0,PG,65,2.1,5.2,0.399,0.9,1.6,2,0.829,2,2.1,0.7,0.1,0.9,6.7,0.4
Joe Harris,0,SG,52,3,7,0.425,1.6,0.7,0.9,0.714,2.8,1,0.6,0.2,1.1,8.2,-0.3
Manny Harris,0,SG,4,0.8,3.8,0.2,0,0.5,1,0.5,2.3,0.5,0,0,0.5,2,-0.1
Aaron Harrison,0,SG,5,0,0.8,0,0,0.2,0.4,0.5,0.6,0.6,0,0,0,0.2,0
Udonis Haslem,0,C,16,0.7,1.4,0.478,0,0.6,0.9,0.6,2.3,0.4,0.4,0.1,0.5,1.9,0
Spencer Hawes,0,PF,54,2.5,5.1,0.484,0.5,0.8,1,0.846,3.5,1.5,0.3,0.6,0.9,6.2,0.3
Gerald Henderson,0,SG,72,3.3,7.7,0.423,0.8,1.8,2.3,0.806,2.6,1.6,0.6,0.2,0.9,9.2,-0.5
John Henson,0,C,58,2.7,5.3,0.515,0,1.3,1.8,0.692,5.1,1,0.5,1.3,0.9,6.8,0.6
Mario Hezonja,0,SF,65,1.8,5.1,0.355,0.7,0.6,0.8,0.8,2.2,1,0.5,0.2,0.9,4.9,-0.9
Roy Hibbert,0,C,48,1.7,3.1,0.544,0,1.3,1.6,0.813,3.2,0.4,0.2,1,0.7,4.6,0.2
Nene Hilario,0,C,67,3.7,5.9,0.617,0,1.7,2.9,0.589,4.2,1,0.8,0.6,1.1,9.1,0.7
Jordan Hill,0,C,7,0.7,1.9,0.385,0,0.3,0.3,1,2,0,0.1,0,0.6,1.7,-0.1
Darrun Hilliard,0,SG,39,1.2,3.2,0.373,0.3,0.5,0.7,0.75,0.8,0.8,0.3,0.1,0.7,3.3,-0.4
Justin Holiday,0,SG,82,2.8,6.6,0.433,1.2,0.8,1,0.825,2.7,1.2,0.8,0.4,0.8,7.7,0.4
Rondae Hollis-Jefferson,0,SF,78,3,6.9,0.434,0.2,2.4,3.2,0.751,5.8,2,1.1,0.6,1.5,8.7,0.4
Rodney Hood,0,SG,59,4.6,11.3,0.408,1.9,1.5,1.9,0.783,3.4,1.6,0.6,0.2,1.1,12.7,0.3
Marcelo Huertas,0,PG,23,1.1,3,0.368,0.2,0.4,0.7,0.529,1,2.3,0.4,0.1,0.8,2.7,-0.3
Josh Huestis,0,PF,2,3,5.5,0.545,1,0,0.5,0,4.5,1.5,0,1.5,0,7,0.1
Kris Humphries,0,PF,56,1.6,3.8,0.407,0.3,1.1,1.5,0.78,3.7,0.5,0.3,0.4,0.5,4.6,-0.1
R.J. Hunter,0,SG,3,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0
Ersan Ilyasova,0,PF,82,4.7,10.9,0.431,1.7,2,2.5,0.778,5.9,1.7,0.7,0.3,1.4,13.1,0.8
Jarrett Jack,0,PG,2,1,1.5,0.667,0,1,1,1,0,2.5,1,0,1.5,3,-0.1
Reggie Jackson,0,PG,52,5.5,13,0.419,1.3,2.3,2.6,0.868,2.2,5.2,0.7,0.1,2.2,14.5,0.2
Al Jefferson,0,C,66,3.6,7.1,0.499,0,1,1.3,0.765,4.2,0.9,0.3,0.2,0.5,8.1,-0.2
Richard Jefferson,0,SF,79,1.9,4.3,0.446,0.8,1,1.4,0.741,2.6,1,0.3,0.1,0.7,5.7,-0.2
John Jenkins,0,SG,4,0.5,1.3,0.4,0.3,0.5,0.5,1,0.3,0.3,0,0,0,1.8,0
Brandon Jennings,0,PG,81,2.4,6.6,0.359,1,1.4,1.9,0.75,2.4,4.9,0.9,0,1.6,7.1,-0.5
Jonas Jerebko,0,PF,78,1.5,3.4,0.435,0.6,0.3,0.5,0.703,3.5,0.9,0.3,0.2,0.5,3.8,0
Joe Johnson,0,SF,78,3.5,8,0.436,1.4,0.8,1,0.818,3.1,1.8,0.5,0.2,0.9,9.2,0.8
Stanley Johnson,0,SF,77,1.7,4.7,0.353,0.6,0.5,0.7,0.679,2.5,1.4,0.7,0.3,0.9,4.4,0
Wesley Johnson,0,SF,68,1.1,2.9,0.365,0.4,0.2,0.3,0.647,2.7,0.3,0.4,0.4,0.3,2.7,0
Dahntay Jones,0,SF,1,3,8,0.375,0,3,4,0.75,2,1,0,0,1,9,0
James Jones,0,SF,48,0.9,1.9,0.478,0.6,0.3,0.4,0.65,0.8,0.3,0.1,0.2,0.2,2.8,0
Terrence Jones,0,PF,54,4.3,9.1,0.47,0.4,1.9,3.1,0.606,5.7,1.1,0.7,1,0.9,10.8,0.2
Tyus Jones,0,PG,60,1.3,3,0.414,0.4,0.6,0.7,0.767,1.1,2.6,0.8,0.1,0.6,3.5,0
Cory Joseph,0,PG,80,3.7,8.3,0.452,0.6,1.2,1.5,0.77,2.9,3.3,0.8,0.2,1.4,9.3,0.6
Frank Kaminsky,0,C,75,4.3,10.7,0.399,1.5,1.6,2.1,0.756,4.5,2.2,0.6,0.5,1,11.7,0.2
Enes Kanter,0,C,72,5.6,10.2,0.545,0.1,3.1,4,0.786,6.7,0.9,0.4,0.5,1.7,14.3,0.3
Ryan Kelly,0,PF,16,0.5,1.8,0.286,0.3,0.3,0.4,0.833,1.1,0.5,0.3,0.3,0.3,1.6,-0.1
Sean Kilpatrick,0,SG,70,4.4,10.5,0.415,1.5,2.9,3.5,0.843,4,2.2,0.6,0.1,1.9,13.1,-0.4
Brandon Knight,0,SG,54,3.9,9.7,0.398,0.8,2.4,2.9,0.857,2.2,2.4,0.5,0.1,1.6,11,-0.7
Kyle Korver,0,SG,67,3.6,7.7,0.464,2.4,0.6,0.6,0.905,2.8,1.6,0.5,0.3,1,10.1,0.8
Kosta Koufos,0,C,71,3,5.5,0.551,0,0.5,0.9,0.613,5.7,0.7,0.5,0.7,0.9,6.6,0
Jeremy Lamb,0,SG,62,3.6,7.9,0.46,0.7,1.8,2.1,0.853,4.3,1.2,0.4,0.4,0.6,9.7,0.1
Joffrey Lauvergne,0,PF-C,70,2.1,4.8,0.44,0.5,0.7,1,0.63,3.6,1,0.4,0.1,0.8,5.4,-0.3
Zach LaVine,0,SG,47,6.9,15.1,0.459,2.6,2.5,3,0.836,3.4,3,0.9,0.2,1.8,18.9,0.8
Ty Lawson,0,PG,69,3.4,7.6,0.454,0.5,2.5,3.1,0.797,2.6,4.8,1.1,0.1,1.9,9.9,0.3
Alex Len,0,C,77,3,6,0.497,0,1.9,2.7,0.721,6.6,0.6,0.5,1.3,1.3,8,0.1
Meyers Leonard,0,PF,74,2,5.1,0.386,1,0.5,0.5,0.875,3.2,1,0.2,0.4,0.5,5.4,-0.4
DeAndre Liggins,0,SG,62,0.9,2.3,0.387,0.3,0.4,0.6,0.625,1.7,0.9,0.8,0.2,0.7,2.5,0
Shaun Livingston,0,PG,76,2.3,4.2,0.547,0,0.6,0.8,0.7,2,1.8,0.5,0.3,0.8,5.1,0
Kevon Looney,0,C,53,1.1,2,0.523,0,0.4,0.6,0.618,2.3,0.5,0.3,0.3,0.3,2.5,0.3
Robin Lopez,0,C,81,4.7,9.6,0.493,0,0.9,1.3,0.721,6.4,1,0.2,1.4,1.1,10.4,0.6
John Lucas III,0,PG,5,0.2,0.8,0.25,0,0,0,0,0,0.2,0.4,0,0,0.4,0
Trey Lyles,0,PF,71,2.2,6.2,0.362,0.9,0.8,1.1,0.722,3.3,1,0.4,0.3,0.9,6.2,-0.3
Shelvin Mack,0,PG,55,3.1,6.9,0.446,0.7,1,1.4,0.688,2.3,2.8,0.8,0.1,1.6,7.8,0.1
Ian Mahinmi,0,C,31,2.1,3.6,0.586,0,1.4,2.4,0.573,4.8,0.6,1.1,0.8,1.1,5.6,0.4
Boban Marjanovic,0,C,35,2.1,3.8,0.545,0,1.3,1.7,0.81,3.7,0.3,0.2,0.3,0.3,5.5,0.2
Jarell Martin,0,PF,42,1.4,3.6,0.384,0.2,1,1.2,0.8,3.9,0.2,0.4,0.2,0.7,3.9,-0.6
James Michael McAdoo,0,PF,52,1.2,2.3,0.53,0,0.4,0.8,0.5,1.8,0.3,0.3,0.6,0.4,2.8,0.2
T.J. McConnell,0,PG,81,2.9,6.3,0.461,0.1,0.9,1.1,0.811,3.1,6.6,1.7,0.1,2,6.9,0
Chris McCullough,0,PF,16,1,2,0.5,0.1,0.2,0.3,0.6,1.2,0.1,0.1,0.1,0.2,2.3,-0.1
K.J. McDaniels,0,SF,49,1.6,3.4,0.456,0.4,0.7,0.8,0.842,1.7,0.3,0.4,0.4,0.6,4.2,-0.3
Doug McDermott,0,SF,66,3.4,7.5,0.447,1.2,1.1,1.3,0.845,2.7,0.9,0.2,0.1,0.6,9,-0.6
JaVale McGee,0,C,77,2.7,4.1,0.652,0,0.7,1.4,0.505,3.2,0.2,0.2,0.9,0.5,6.1,0.5
Ben McLemore,0,SG,61,3,6.9,0.43,1.1,1.1,1.5,0.753,2.1,0.8,0.5,0.1,1,8.1,-0.9
Jordan McRae,0,SG,37,1.6,4.1,0.387,0.5,0.7,0.9,0.794,1.1,0.5,0.2,0.2,0.4,4.4,-0.4
Josh McRoberts,0,PF,22,2,5.4,0.373,0.6,0.3,0.4,0.667,3.4,2.3,0.5,0.2,1,4.9,0
Jodie Meeks,0,SG,36,2.9,7.1,0.402,1.6,1.8,2.1,0.878,2.1,1.3,0.9,0.1,1,9.1,0
Salah Mejri,0,C,73,1.2,1.9,0.642,0,0.5,0.8,0.59,4.2,0.2,0.4,0.8,0.5,2.9,0.5
Jordan Mickey,0,PF,25,0.6,1.4,0.441,0,0.3,0.6,0.571,1.4,0.3,0.1,0.2,0.4,1.5,-0.1
Khris Middleton,0,SF,29,5.2,11.5,0.45,1.6,2.8,3.2,0.88,4.2,3.4,1.4,0.2,2.2,14.7,0.3
C.J. Miles,0,SF,76,3.7,8.5,0.434,2.2,1.1,1.2,0.903,3,0.6,0.6,0.3,0.5,10.7,0.7
Mike Miller,0,SF,20,0.5,1.2,0.391,0.4,0.1,0.1,1,1.9,1.1,0.1,0,0.7,1.4,-0.1
Elijah Millsap,0,SG,2,0.5,3.5,0.143,0,0.5,1,0.5,3,0.5,0,0,1,1.5,-0.1
E'Twaun Moore,0,SG,73,3.9,8.5,0.457,1.1,0.8,1,0.77,2.1,2.2,0.7,0.4,0.8,9.6,0.3
Markieff Morris,0,PF,76,5.3,11.7,0.457,0.9,2.4,2.8,0.837,6.5,1.7,1.1,0.6,1.7,14,0.6
Anthony Morrow,0,SG,49,2,5.1,0.389,0.8,0.7,0.8,0.919,0.6,0.5,0.5,0,0.1,5.5,-0.4
Donatas Motiejunas,0,PF,34,1.7,4.1,0.413,0.3,0.7,1.4,0.51,3,0.9,0.5,0.3,0.9,4.4,-0.1
Timofey Mozgov,0,C,54,3.1,6.1,0.515,0,1.2,1.4,0.808,4.9,0.8,0.3,0.6,1.3,7.4,-0.4
Emmanuel Mudiay,0,PG,55,3.8,10,0.377,1,2.4,3,0.784,3.2,3.9,0.7,0.2,2.2,11,-0.6
Shabazz Muhammad,0,SF,78,3.7,7.7,0.482,0.6,1.9,2.4,0.774,2.8,0.4,0.3,0.1,0.7,9.9,-0.9
Shabazz Napier,0,PG,53,1.4,3.5,0.399,0.6,0.7,0.9,0.776,1.2,1.3,0.6,0,0.8,4.1,0
Gary Neal,0,SG,2,0,3.5,0,0,2,2,1,0.5,0.5,0,0,0,2,-0.1
Jameer Nelson,0,PG,75,3.6,8.1,0.444,1.4,0.6,0.8,0.714,2.6,5.1,0.7,0.1,1.7,9.2,0
Raul Neto,0,PG,40,1,2.3,0.451,0.3,0.2,0.2,0.889,0.8,0.9,0.5,0.1,0.4,2.5,0.1
Andrew Nicholson,0,PF,38,1.1,2.9,0.387,0.1,0.2,0.4,0.643,1.6,0.3,0.4,0.2,0.4,2.6,-0.4
Steve Novak,0,PF,8,0.3,0.9,0.286,0.1,0,0,0,0.4,0,0,0,0,0.6,-0.1
Dirk Nowitzki,0,PF,54,5.5,12.6,0.437,1.5,1.8,2.1,0.875,6.5,1.5,0.6,0.7,0.9,14.2,0.2
Jusuf Nurkic,0,C,65,4.2,8.2,0.507,0,1.8,3.2,0.571,7.2,1.9,0.8,1.1,2.2,10.2,0.6
Johnny O'Bryant,0,PF,11,1.4,2.7,0.5,0.3,0.5,0.5,0.833,1.7,0.5,0,0.1,0.5,3.5,0
Jahlil Okafor,0,C,50,4.8,9.4,0.514,0,2.1,3.2,0.671,4.8,1.2,0.4,1,1.8,11.8,-0.4
Victor Oladipo,0,SG,67,6.1,13.9,0.442,1.9,1.7,2.3,0.753,4.3,2.6,1.2,0.3,1.8,15.9,0.4
Arinze Onuaku,0,C,8,0.3,0.5,0.5,0,0,0,0,0.8,0.3,0,0.1,0.3,0.5,0
Kelly Oubre,0,SF,79,2.4,5.6,0.421,0.7,0.9,1.3,0.758,3.3,0.6,0.7,0.2,0.6,6.3,-0.1
Tony Parker,0,PG,63,4.2,9,0.466,0.4,1.3,1.9,0.726,1.8,4.5,0.5,0,1.4,10.1,-0.4
Chandler Parsons,0,SF,34,2.2,6.5,0.338,0.7,1,1.3,0.814,2.5,1.6,0.6,0.1,0.7,6.2,-0.3
Lamar Patterson,0,SG,5,0.6,3,0.2,0.2,0.4,0.6,0.667,1.4,1.2,0.2,0,0.8,1.8,-0.1
Adreian Payne,0,PF,18,1.3,3,0.426,0.2,0.8,1.1,0.737,1.8,0.4,0.4,0.4,0.4,3.5,0
Cameron Payne,0,PG,31,2.1,6.2,0.332,0.9,0.2,0.3,0.625,1.5,1.8,0.5,0.1,0.9,5.2,-0.6
Paul Pierce,0,SF,25,1.1,2.8,0.4,0.6,0.4,0.5,0.769,1.9,0.4,0.2,0.2,0.6,3.2,-0.2
Miles Plumlee,0,C,45,1,2,0.478,0,0.6,0.9,0.641,2.1,0.5,0.4,0.3,0.7,2.5,-0.2
Bobby Portis,0,PF,64,2.9,5.9,0.488,0.5,0.6,0.9,0.661,4.6,0.5,0.3,0.2,0.6,6.8,-0.3
Norman Powell,0,SG,76,3,6.7,0.449,0.7,1.7,2.1,0.792,2.2,1.1,0.7,0.2,0.9,8.4,0.2
Ronnie Price,0,PG,14,0.3,1.7,0.167,0.2,0.2,0.3,0.75,0.8,1.3,0.8,0.1,0.2,1,0
Zach Randolph,0,PF,73,5.9,13.2,0.449,0.3,1.9,2.6,0.731,8.2,1.7,0.5,0.1,1.4,14.1,0
Willie Reed,0,C,71,2.3,4,0.568,0,0.7,1.2,0.557,4.7,0.4,0.3,0.7,0.4,5.3,0.4
Austin Rivers,0,SG,74,4.4,9.9,0.442,1.5,1.8,2.6,0.691,2.2,2.8,0.6,0.1,1.6,12,0.2
Brian Roberts,0,PG,41,1.1,3,0.377,0.4,0.8,1,0.846,1,1.3,0.2,0,0.6,3.5,-0.4
Glenn Robinson,0,SF,69,2.3,4.9,0.467,0.7,0.8,1.1,0.711,3.6,0.7,0.6,0.3,0.5,6.1,0.2
Thomas Robinson,0,PF,48,2.2,4.1,0.536,0,0.6,1.4,0.47,4.6,0.6,0.5,0.2,1,5,0
Sergio Rodriguez,0,PG,68,3.1,7.9,0.392,1.4,0.3,0.4,0.667,2.3,5.1,0.7,0.1,1.9,7.8,-0.7
Derrick Rose,0,PG,64,7.2,15.3,0.471,0.2,3.5,4,0.874,3.8,4.4,0.7,0.3,2.3,18,0
Terry Rozier,0,PG,74,2,5.6,0.367,0.8,0.7,0.9,0.773,3.1,1.8,0.6,0.1,0.6,5.5,-0.2
Damjan Rudez,0,SF,45,0.7,2,0.352,0.4,0,0,0,0.6,0.4,0.3,0,0.2,1.8,-0.2
Brandon Rush,0,SG,47,1.5,4,0.374,0.9,0.3,0.4,0.722,2.1,1,0.5,0.5,0.6,4.2,0
D'Angelo Russell,0,PG,63,5.6,13.8,0.405,2.1,2.3,3,0.782,3.5,4.8,1.4,0.3,2.8,15.6,0.7
Larry Sanders,0,C,5,0.2,0.8,0.25,0,0.4,0.4,1,0.8,0,0.2,0.2,0.4,0.8,0
Dennis Schroder,0,PG,79,6.9,15.4,0.451,1.3,2.8,3.2,0.855,3.1,6.3,0.9,0.2,3.3,17.9,0.8
Luis Scola,0,PF,36,2,4.2,0.47,0.5,0.7,1,0.676,3.9,1,0.4,0.1,0.9,5.1,0.1
Mike Scott,0,PF,18,0.9,3.3,0.288,0.2,0.4,0.4,0.875,2.1,0.9,0.2,0.2,0.4,2.5,-0.2
Kevin Seraphin,0,PF,49,2.2,4,0.551,0,0.3,0.4,0.636,2.9,0.5,0.1,0.4,0.6,4.7,-0.2
Ramon Sessions,0,PG,50,2,5.3,0.38,0.4,1.8,2.4,0.771,1.5,2.6,0.5,0.1,0.9,6.2,-0.5
Iman Shumpert,0,SG,76,2.6,6.4,0.411,1.2,0.9,1.2,0.789,2.9,1.4,0.8,0.4,1,7.5,0.3
Jonathon Simmons,0,SG,78,2.3,5.4,0.42,0.4,1.3,1.7,0.75,2.1,1.6,0.6,0.3,1,6.2,0
Kyle Singler,0,SF,32,1.1,2.6,0.41,0.2,0.4,0.5,0.765,1.5,0.3,0.2,0.2,0.3,2.8,-0.4
Ish Smith,0,PG,81,4.1,9.2,0.439,0.3,0.9,1.3,0.706,2.9,5.2,0.8,0.4,1.4,9.4,0.6
J.R. Smith,0,SG,41,3,8.7,0.346,2.3,0.2,0.4,0.667,2.8,1.5,1,0.3,0.6,8.6,0.2
Jason Smith,0,C,74,2.4,4.4,0.529,0.5,0.5,0.7,0.686,3.5,0.5,0.3,0.7,0.8,5.7,0.2
Tony Snell,0,SG,80,3.1,6.8,0.455,1.8,0.6,0.7,0.81,3.1,1.2,0.7,0.2,0.7,8.5,0.7
Tiago Splitter,0,C,8,1.8,3.9,0.452,0.3,1.1,1.4,0.818,2.8,0.5,0.1,0.1,0.8,4.9,-0.1
Nik Stauskas,0,SG,80,3.1,7.9,0.396,1.7,1.5,1.9,0.813,2.8,2.4,0.6,0.4,1.6,9.5,-0.2
